Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord33,aa19,Rose,1,Fill,100,55,Accepted,2024.11.25-13.49.28.893
ord29,aa15,Rose,2,Fill,100,55,Accepted,2024.11.25-13.49.28.893
ord34,aa20,Rose,1,PFill,100,55,Accepted,2024.11.25-13.49.28.893
ord30,aa16,Rose,2,Fill,100,55,Accepted,2024.11.25-13.49.28.893
ord34,aa20,Rose,1,Fill,100,55,Accepted,2024.11.25-13.49.28.893
ord31,aa17,Rose,2,Fill,100,55,Accepted,2024.11.25-13.49.28.893
ord35,aa21,Rose,1,PFill,100,55,Accepted,2024.11.25-13.49.28.893
ord32,aa18,Rose,2,Fill,100,55,Accepted,2024.11.25-13.49.28.893
ord35,aa21,Rose,1,PFill,100,65,Accepted,2024.11.25-13.49.28.893
ord28,aa14,Rose,2,Fill,100,65,Accepted,2024.11.25-13.49.28.893
ord35,aa21,Rose,1,Fill,100,75,Accepted,2024.11.25-13.49.28.893
ord27,aa13,Rose,2,Fill,100,75,Accepted,2024.11.25-13.49.28.893
