Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord25,aa15,Rose,2,PFill,100,65,Accepted,2024.11.25-13.42.19.625
ord24,aa14,Rose,1,Fill,100,65,Accepted,2024.11.25-13.42.19.626
ord25,aa15,Rose,2,PFill,100,55,Accepted,2024.11.25-13.42.19.626
ord23,aa13,Rose,1,Fill,100,55,Accepted,2024.11.25-13.42.19.626
ord28,aa18,Lotus,2,PFill,100,65,Accepted,2024.11.25-13.42.19.626
ord27,aa17,Lotus,1,Fill,100,65,Accepted,2024.11.25-13.42.19.626
ord28,aa18,Lotus,2,PFill,100,55,Accepted,2024.11.25-13.42.19.626
ord26,aa16,Lotus,1,Fill,100,55,Accepted,2024.11.25-13.42.19.626
ord29,aa19,Lotus,1,Fill,100,1,Accepted,2024.11.25-13.42.19.626
ord28,aa18,Lotus,2,Fill,100,1,Accepted,2024.11.25-13.42.19.627
ord30,aa20,Rose,1,Fill,100,1,Accepted,2024.11.25-13.42.19.627
ord25,aa15,Rose,2,Fill,100,1,Accepted,2024.11.25-13.42.19.627
